Review text,Ratings
"Nice product, good quality, but price is now rising which is a bad sign. 800-850 was an affordable price, especially when we play everyday. So kindly help us out in terms of the price. Thank You.READ MORE",Positive Review
They didn't supplied Yonex Mavis 350. Outside cover was Yonex Ad inside was a cheapest....  Sad to hear this.READ MORE,Negative Review
Worst product. Damaged shuttlecocks packed in new box. It's not a original yonex product. Don't buy.flipkart platform is chosen to fraud the buyers.READ MORE,Negative Review
"Quite O. K. , but nowadays  the quality of the corks like not as before 3 to 5 years back.. I am using MAVIS 350 for more than 15 years quality of corks was very very good at that times, but now I am not getting the quality corks as like before, rate of corks also too much now, I am  very sorry to say like this, but in my experience , my Statment is very true to   my knowledgeREAD MORE",Negative Review
Over pricedJust â?¹620 ..from retailer.I didn't understand.. Wat is d advantage of buying dis frm flipkrtREAD MORE,Negative Review
Good quality product. Delivered on time.READ MORE,Positive Review
BEST PURCHASE It is a good quality and is more durable than any average shuttle. And shipping was goodREAD MORE,Positive Review
Good quality original shuttles.READ MORE,Positive Review
AwesomeREAD MORE,Positive Review
nice original productsREAD MORE,Positive Review
This GREEN CAP SHUTTLECOCK is really AWESOME. Quality is BEST and GOOD PACKING.This GREEN CAP SHUTTLECOCK is played at WARM CONDITIONS.Worth for MONEY. Simply LOVED it.....READ MORE,Positive Review
Best in class....READ MORE,Positive Review
it's genuine and price is less than our near by shopREAD MORE,Positive Review
"This is the second time i am getting an opened bundle of Yonex mavis 350 shuttle. I really believe this is not an original product, or someone may have switched the shuttle inside the bundle. Don't buy from flipkart. I am gonna return this product.READ MORE",Negative Review
really satisfied with the quality and the prompt delivery.....happy customer of Flipkart 👍READ MORE,Positive Review
NycREAD MORE,Positive Review
I usually buy them the same model but this did not last even for a dayREAD MORE,Negative Review
"Poor quality, not originalREAD MORE",Negative Review
Delivered on expected timeREAD MORE,Positive Review
nice and original productREAD MORE,Positive Review
Very nice and Good price compare then local sports.READ MORE,Positive Review
It's perfect. Go for it. Yonex will never disappoint you. Pros - 1. The feather might look little cheap at first glance but it ain't like that. The quality it best.2. The bottom cork is so amazing. We play in an open court and it perfectly glides around. Balanced base. 3. The durability seems to go fine. No issues on that. We (intermediate players) have been using one shuttle since 2 days now. Cons - 1. Slightly on a higher range. 2. If you use 30lbs + BG 65 or 98 racquet then it's p...READ MORE,Positive Review
superbREAD MORE,Positive Review
"Looked like defective once, without balance, had to throw 4 out of 6.READ MORE",Negative Review
Genuine product at very reasonable price....got for Rs 630/-READ MORE,Positive Review
Good sealed Original Yonex ShuttlesREAD MORE,Positive Review
They are not as expected...the head  portion break very soon...defective pieces..READ MORE,Negative Review
I am giving 4 star only for its price hike. Please anyone suggest any other shuttle cork for same performance with lower price.READ MORE,Positive Review
quality is pooverREAD MORE,Positive Review
good productREAD MORE,Positive Review
Good product.....READ MORE,Positive Review
Received in good condition...am really satisfied with the product.But I am not satisfied with those delivery boys who always does not have coins in return...it means that we are paying extra money for our item. They also know this opportunity so they never have coins to return...I really dont like this kind of selfishness!READ MORE,Positive Review
"After using, found shuttles quality are not upto the level. This box has not 3d quality sticker.READ MORE",Negative Review
Local productREAD MORE,Negative Review
Few of shuttle just separated from base in just a single shot. Very poor qualityREAD MORE,Negative Review
shuttle is over rotatingREAD MORE,Negative Review
Very bad quality.READ MORE,Negative Review
Worst quality after 2 or 3 shots the ball started to rotate.READ MORE,Negative Review
Not expecting this kind of products from flipkart.READ MORE,Negative Review
No one better shuttles in the market.good quality and reasonable price.READ MORE,Positive Review
low qualityREAD MORE,Negative Review
Superb quality... And best price.. Thanks to flipkart..!READ MORE,Positive Review
second quality shuttles .. don't buy it... all are almost torn and shaped out... worst experience... go and buy in shop which costs around 750-800READ MORE,Negative Review
I don't think it is genuine cos I had it checked on the official website of yonex with the hologram number. Yet product is not bad and it does the job well. I will definitely be comparing this one with an original one from a shop near by and let others know the difference if any.READ MORE,Positive Review
Very bad quality this timeREAD MORE,Negative Review
"I've Received 6 duplicate n cheapest balls ,kept inside a broken box, which it was done deleberately. Worst experience, I've ever had with Flipkart. Can buy anything, except badminton yonex mavis 350.READ MORE",Negative Review
"Quality is not good, rejected qualityREAD MORE",Negative Review
This green cap shuttle is very good for indoor as well as outdoor play. Though it has a slow speed and is durable. Thanks for a great dealREAD MORE,Positive Review
Really Nice productQuick delivery Thanks filpkartREAD MORE,Positive Review
Very nice shuttleREAD MORE,Positive Review
Horrible product....each shuttle didn't last even I single day....Extremely poor quality..PatheticREAD MORE,Negative Review
Quality very low. Not orginalREAD MORE,Negative Review
WorstREAD MORE,Negative Review
Their is difference in online quality and market quality. local market products is far better than online productsREAD MORE,Negative Review
Dont but it.... worst productREAD MORE,Negative Review
Low quality very bad quality 😡READ MORE,Negative Review
